Brent Tonisson, Mewtwo & Mew-GX Toolbox
Syahmi Razak, Arceus & Dialga & Palkia-GX/Articuno & Zapdos & Moltres-GX
Tan Jun Hao, Gardevoir & Sylveon-GX
Jack Millar, Mewtwo & Mew-GX Toolbox
Lee Keng Fai, Giratina & Garchomp-GX/Mismagius
Chun Yee Wei, Arceus & Dialga & Palkia-GX/Keldeo-GX
Cameron Shenoy, Persian-GX/Naganadel-GX Checkmate
Wong Wo Pan, Giratina & Garchomp-GX/Mismagius
Levin Fo, Mewtwo & Mew-GX Toolbox
Malik Hisyam, Arceus & Dialga & Palkia-GX/Keldeo-GX
Afiq Samsudin, Charizard & Braixen-GX/Green's Exploration
Lai Chi Shing, Giratina & Garchomp-GX/Mismagius
Peter Lo, Giratina & Garchomp-GX/Mismagius
Farhan Aziz, Arceus & Dialga & Palkia-GX/Articuno & Zapdos & Moltres-GX
Chen Hong Yu, Arceus & Dialga & Palkia-GX/Spiritomb
Adrian Velasco, Lucario & Melmetal-GX
Lin Wei Yu, Arceus & Dialga & Palkia-GX/Keldeo-GX
Muhammad Shafiq, Gardevoir & Sylveon-GX
Joey Ho, Arceus & Dialga & Palkia-GX/Keldeo-GX
Shaun Soh, Mewtwo & Mew-GX Toolbox
Ng Zi Zheng, Mewtwo & Mew-GX Toolbox
Melvyn Lee, Mewtwo & Mew-GX Toolbox
Colin Tang, Arceus & Dialga & Palkia-GX/Keldeo-GX
Chew Jin Jian, Turbo Reshiram & Charizard-GX
Klive Aw, Arceus & Dialga & Palkia-GX/Spiritomb
Jeffery Tee, Pikachu & Zekrom-GX
Law Ping Ki, Mewtwo & Mew-GX Toolbox
Fung Tsz Ping, Mewtwo & Mew-GX Toolbox
Kaiwen Cabbabe, Malamar/Giratina/Spell Tag
Rinesh John, Turbo Reshiram & Charizard-GX
Phang Xun Yi, Blacephalon UNB/Pidgeotto
